Summary,Issue Type,Status,Project name,Project type,Description
"Portal: Tutorial pops up on every page for an admin user, even after being dismissed",Bug,Verified,Sakai,software,"Not sure if this is related to the fix in [https://sakaiproject.atlassian.net/browse/SAK-49755|https://sakaiproject.atlassian.net/browse/SAK-49755|smart-link] , but it only seems to affect the admin user. After logging in and dismissing the tutorial, it just keeps popping up on every single page that the admin visits."
"Tests & Quizzes: pubslished test's availability changes to ""Anyone with link"" when the site title changes",Bug,Open,Sakai,software,"Tests & Quizzes: pubslished test's availability changes to ""Anyone with link (Anonymous Survry)"" when the site title changes.  Thus, the Grading & Submission options for â€œAnonymous Gradingâ€ and â€œAdd to Gradebookâ€ become locked.

What happens is that the database table SAM_PUBLISHEDACCESSCONTROL_T.releaseto column is set to the original site title, but after the site tile is changed, that column remains as the old title.  Then it seems that samigo canâ€™t find a matching title in releaseto so it changes the availability to â€œAnyone with linkâ€.  (I havenâ€™t had a chance to step debug exactly where it does that comparison)"
Site Info: View Membership links for groups missing,Bug,Resolved,Sakai,software,"When groups are present in a site, the groups table within the collapsible Groups section in the Site Information tab should present a â€˜View Membershipâ€™ link in the â€˜Membershipâ€™ column.Â 

This is working in Sakai 21 but is no longer working in Sakai 24, 23, and 22. Refer to the attached screenshots."
Gradebook-Rubrics: Rubric icon missing from student gradebook,Bug,Resolved,Sakai,software,Assignment created and configured with Rubric grading does not present a Rubric icon in the studentâ€™s gradebook.
"Rubrics: Weighted rubrics missing total percentage, points",Bug,Open,Sakai,software,"On 23.x, weighted rubrics have two lines below the rubric, above the Save Weights, Add Criterion, and Add Criterion Groups buttons.

The first line is total weight, giving the overal percentage. The second line is the weighted points, giving the minimum and maximum point value of the rubric. These were very useful for weighted rubrics to help instructors make sure that everything was set up correctly. Without the total weight percentage, instructors with long rubrics have to add up the weights themselves to make sure they are at 100% before saving. "
Rubrics: Save Weights no longer gives confirmation message,Bug,Open,Sakai,software,"On 23.x, when the instructor has a rubric using weights a  (/) Saved Successfully! message appears when they click Save Weights. This message does not appear on Trunk/24."
Rubrics: Adding weights to rubrics with without reloading page doesn't keep order,Bug,Open,Sakai,software,"If an instructor creates a rubric and adds additional criterion or groups, reorders them, then clicks weighted grading without reloading the Rubrics page, the order of the rubric criterion/groups is temporarily garbled.

I first noticed this with criterion groups. The first criterion group is moved to the very bottom of the rubric. Any other criterion groups disappear. With new criterion, they are moved back to the bottom of the rubric. Once the rubric weights are saved and the Rubrics page is refreshed, the rubric appears with the criterion/groups in the original order. 

This doesnâ€™t occur if the criterion/groups are created and not reordered. I am not able to reproduce this on 23.x

Screenshots:

RubricA-1.png - Criterion groups added and reordered. Looks normal
RubricA-2.png - Toggled weighted grading. Group A is at the very bottom. Group B is gone
RubricA-3.png - Saved weights and reloaded the page. Looks normal again. 

RubricB-1.png - Two new criterion added and reordered. Looks normal
RubricB-2.png - Toggled weighted grading. New criterion are back at the bottom of the rubric
RubricB-3.png - Saved weights and reloaded the page. Order restored"
Lessons: Default placeholder not updated in Catalan,Bug,Closed,Sakai,software,"The Lessons default placeholder in English shows this:

!image-20231222-113450.png|width=1440,height=599!

But the Catalan version shows this, comes from older versions of lessons:

!2024-03-07 15_24_05.png|width=1387,height=623!

This PR updates the placeholder HTML to the latest version."
Rubrics: First rubric created has extra name popup,Bug,Open,Sakai,software,"I am only able to reproduce this in the first rubric I create on Trunk after the server update. All later rubrics donâ€™t have this problem

When an instructor adds a new rubric on a fresh server, the Rubric Title modal appears as expected. I entered a name and clicked Save, then the modal window popped back up a second time. Once I saved the name the second time, everything seemed normal. "
"Grader: For ungraded assignments, should the grader's button still read ""Grade Submission""?",Bug,Open,Sakai,software,"Due to changes made in [https://sakaiproject.atlassian.net/browse/SAK-49766|https://sakaiproject.atlassian.net/browse/SAK-49766|smart-link] , does the graderâ€™s button text need to change to â€œAdd Commentsâ€ or something similar? "
Sakai Grader: The grader no longer has the green circle indicator when feedback comments or private notes have been added,Bug,Resolved,Sakai,software,"See [https://sakaiproject.atlassian.net/browse/SAK-48129|https://sakaiproject.atlassian.net/browse/SAK-48129|smart-link] 

At one time the Grader in Assignments had a green circle to indicate feedback comments or private notes had been entered. They have disappeared in 24x and 23x and it would be nice to have them again. This may have disappeared when the grader changed to a slide-out and now the instructor has to open comments or private notes to see that they have already left feedback/notes."
Use XML 1.1 serialization in BasicSerializableRepository,Task,Closed,Sakai,software,"When an assignment contains control characters in text fields (e.g. ASCII 4), archiving the assignment fails because the XML serialization fails with an error like:

{noformat}2024-02-13 16:56:55,441  WARN ajp-nio-0.0.0.0-8009-exec-1 org.sakaiproject.serialization.BasicSerializableRepository - Could not serialize to xml com.fasterxml.jackson.core.JsonGenerationException: Invalid white space character (0x1) in text to output (in xml 1.1, could output as a character entity){noformat}

Unfortunately itâ€™s not easy to sanitise such fields prior to archiving, because the XML serialization takes place at quite a low level, directly from the db mapping.

The solution is to use XML 1.1 serialization which permits these characters, encoded appropriately.

A full stack trace is included below."
Assignments: Upload all text for releasing needs to be updated,Bug,Open,Sakai,software,"With the changes in [https://sakaiproject.atlassian.net/browse/SAK-49766|https://sakaiproject.atlassian.net/browse/SAK-49766|smart-link] , comments without a grade are not automatically released when releasing a grade (and this is the expected behavior now), so the wording needs to change on the Upload all page when releasing grades upon upload.

Currently, the text reads: Release uploaded grades and feedback comments to students

If the instructor added only a comment and did not give the student a grade, then the comments are not released.

This should probably state â€œRelease uploaded gradesâ€ or something similar since feedback is only released for graded students."
Gradebook: â€˜Excuse/Include Gradeâ€™ with percentage entry distorts scores,Bug,Closed,Sakai,software,"For Grade Entry set to â€œpercentagesâ€, the â€˜Excuse/Include Gradeâ€™ control will distort the score stored in the database. Refer to the test plan for details.

(This bug is especially critical for Sakai 23 and later due to the Quick Entry feature. Gradebooks with percentage entry use the same logic that is producing this bug, making the possibility of distorted scores much more widespread. Thus, this is at least a critical bug.)"
"New ""inline submission"" link should not display for users without a submission",Bug,Closed,Sakai,software,"In [https://sakaiproject.atlassian.net/browse/SAK-49242|https://sakaiproject.atlassian.net/browse/SAK-49242|smart-link] there was an â€œinline submissionâ€ link introduced into the Sakai Grader so that instructors could view saved draft text if the student neglected to submit the draft. However, it is confusing to see the â€œinline submissionâ€ link (which does not go anywhere) when there is no draft at all. Furthermore, the inline submission link for student with no submission is visible prior to the due date for the assignment, which I donâ€™t think was the intent with the above Jira. 

For example, currently on the nightly server, if you create an assignment, and then immediately select Grade before the due date and before any students have started the assignment, you will see the inline submission link within the empty student submission screen. 

!no-submission.png|width=100%!

However, if you go in as a student and save a draft, then return to instructor view and bring up the student submission screen, you donâ€™t see the â€œinline submissionâ€ link at all. (This is also before the due date.)

!draft-submission.png|width=100%!

It seems to me that the â€œinline submissionâ€ link should not appear at all for students who have never started the assignment or saved a draft. It should only display after the due date for students who actually have a saved draft that has not been submitted, or a submitted draft. It does not make sense to show this link for students with no submission at all, since it may cause the instructor to think that there is a missing submission or that the link is broken since it doesn't do anything when the user clicks on it."
"Rubrics: Criterion summary, student summary includes criterion groups always worth 0 points",Improvement,Open,Sakai,software,"When viewing the criterion summary or student summary data for a graded rubric, whether in Gradebook, Assignments, Tests & Quizzes, or Discussions, the criterion groups appear. This really serves no purpose as the groups are only ever worth 0 points. If an instructor has a large rubric, the group non-data just takes up space. 

I would like to see the criterion groups either excluded from the student summay and criterion summary views OR provide the sum of the scores for all criterion below it and above the next criterion group (if there is one)"
Replace the getters and setters in the content hosting service with annotations.,Improvement,Resolved,Sakai,software,"Replace the getters and setters in the content hosting service with annotations. Also, remove the duplication of javadoc comments between the interface and implementations."
Rubrics: Inconsistent locking when assignment is graded without using the rubric,Bug,Open,Sakai,software,"When you have an assignment that is graded using a rubric, you can opt to simply enter a score in the points field without using the rubric. This is having inconsistent locking behavior. 

On 22.x, using Grader or Classic, entering a score without using the rubric does not lock the rubric

On 23.x and Trunk, if you enter a score without using the rubric using CLASSIC grader, the rubric does not lock

On 23.x and Trunk, if you enter a score without using the rubric using SAKAI GRADER, the rubric is locked. 

I would argue that the behavior should be consistent, and that if a rubric is associated with an assignment, but that assignment is graded without selecting any ratings, entering any criterion points, or entering criterion comments, that it shouldnâ€™t be considered an evaluation using the rubric, and the rubric should remain unlocked. "
Rubrics: Rubric icon appears to students if rubric is hidden,Bug,Closed,Sakai,software,"If an instructor creates an assignment with a rubric, with the option selected to hide the rubric from students, the Preview Rubric button does not appear when the student is reviewing/submitting the assignment, but the rubric icon still appears on the list of assignments and can be clicked on to open the rubric preview. 

-This is not currently a problem on 23.x-"
Preview Rubric unavailable when viewing assignment from ELFinder link ,Bug,Open,Sakai,software,"On Trunk, the Preview Rubric button is unlabeled and non-functional when viewing an assignment with a rubric from an ELFinder link. I did not see an error in the console or logs



Currently, this isnâ€™t a problem on 23.x.  The Preview Rubric button on 23 is not correct (heading is grading_rubric, button is preview_rubric), but it is functional. On trunk, thereâ€™s no indication what the tiny button is and it does not open the rubric preview."
Assignments: Instructor view in new grader does not display No Grade as the old grader does,Bug,Open,Sakai,software,"When looking at submissions for ungraded assignments, the old grader displays â€œGrade: No Gradeâ€ to the instructor. The new grader just displays â€œGradeâ€. It would be nice for the new grader to also display â€œGrade: No Gradeâ€ to the instructor when viewing submissions."
"Assignments: Ungraded assignments should show a status of ""Submitted"", not ""Ungraded"" on the submissions page",Bug,Open,Sakai,software,"[https://sakaiproject.atlassian.net/browse/SAK-49766|https://sakaiproject.atlassian.net/browse/SAK-49766|smart-link] made some very nice changes to assignments, specifically ungraded. However, on the Submissions page for an ungraded assignment, the status still displays as â€œUngradedâ€ and in this case I think the status should be â€œSubmittedâ€."
Assignments: saving a grade or comment in new grader should use the same message as the old grader,Bug,Verified,Sakai,software,"When grading or just adding a comment to an assignment and saving/saving release, the message displayed for the old grader makes much more sense than the new grader, especially with ungraded assignments.

Old grader: the message displayed: Comments and/or grade have been saved.

New grader: You successfully saved this grade."
Assignment: Returned grade css colors need to be adjusted and be consistent,Bug,Open,Sakai,software,"When comparing to 22x, the colors used for returned grades have changed and are inconsistent even between assignment types on 24 & 23. 

* Points: 24/23 black, 22x red
* No Grade: 24/23 black, 22x red
* Pass / Fail:
** 24/23: Pass = purple text, pale green background, 22x: Pass = dark green text , light green background
** 24/23: Fail = red text, no background, 22x: dark red text, light red background
* Letter Grade: 24/23 black, 22x red
* Checkmark: 24/23 purple text, pale green background, 22x: dark green text , light green background"
"Add ""Last Modified By"" field to files in Resources",Feature Request,Open,Sakai,software,"Currently, when a Resources item is created or copied, the â€œauthorâ€ field of the resource is updated. However, importing a Resources item into a new site, or editing an existing item to â€œupload a new versionâ€ does not update the author field.

This can be confusing to users if they are the authors of items which have been imported, and then modified by other users, since the items retain the original authorâ€™s name, even though they may have been modified to look nothing like the original.

It would be helpful to include a â€œLast Modified Byâ€ column, in addition to the existing â€œAuthorâ€ and â€œModified byâ€ information fields, so that it is possible to identify which user has made changes to an existing Resources item."
Allow instructor to specify if attached file should open within the content frame,Feature Request,Open,Sakai,software,"When using the Syllabus tool, instructors will often create a single syllabus item that contains a file attachment for their syllabus document, usually a PDF file. The single file attachment is a more common scenario than actually using multiple sections of the syllabus tool to create an inline syllabus.

However, when a user attaches a file, it appears as a link that students have to click on to download. Users have complained about this, saying that it causes students to have to click multiple times just to view the document when they would prefer for it to simply display on the page. While it is possible for the instructor to copy and paste their syllabus text into the rich text editor, this is extra work for the instructor that is not necessarily intuitive.

It would be much more user-friendly if the instructor had the option to specify that an attachment should be displayed without downloading, similar to the way student submissions display within Sakai Grader. Perhaps there could be a checkbox below the Attachment button that allows the instructor to enable/disable the â€œopen in a new windowâ€ setting."
"Add a ""Last Modified By"" field to the Rubric information in Manage Rubrics",Feature Request,Open,Sakai,software,"Currently, when a rubric is created or copied, the â€œauthorâ€ field of the rubric is updated. However, importing a rubric into a new site, or editing an existing rubric does not update the author field. 

This can be confusing to users if they are the authors of rubrics which have been imported, and then modified or shared by other users, since the rubrics retain the original authorâ€™s name, even though they may have been modified to look nothing like the original. 

It would be helpful to include a â€œLast Modified Byâ€ column, in addition to the existing â€œAuthorâ€ and â€œModified byâ€ information fields, so that it is possible to identify which user has made changes to an existing rubric.

Also, on a recent T&L/UX call, it was noted that perhaps the â€œOriginâ€ field isnâ€™t really necessary to display for rubrics within the same site, since they are all always the current site. The â€œOriginâ€ column is only really useful when it appears in the Public list of shared rubrics. "
URLs retrieved from provider's API are not stored in database,Bug,Open,Sakai,software,"I thought that this was an issue of Urkund, but I have been told that is happening also with Turnitin, so it seems that it must be a bug of Content Review. It can be checked with the query documented in the testing steps.

Every report returned by any Content Review provider after sending one submission should be stored in CONTENTREVIEW_ITEM_PROPERTIES table, so the number of calls to that providerâ€™s API is reduced.

We have found a lot of cases where the property URKUND_REPORT_URL of Urkund has not been stored in CONTENTREVIEW_ITEM_PROPERTIES, neither the property URKUND_OPTOUT_URL. We don't know why this is happening, it reminds us to the issue reported (and never fixed) in [SAK-34064|https://sakaiproject.atlassian.net/browse/SAK-34064]. In a comment somebody says that maybe could be due to some issues of Hibernate's transactions.

This causes that when an instructor loads the ""View Submissions"" page in Assignments every non stored report is requested to Urkund's API, so in assignments with a large number of submissions this mades the page to load very slowly.

Even worse, in the code there is a place when the report and optout URLs should be stored in database when API returns them and they are not already there, but I have checked that this is not working neither.

In UrkundReviewServiceImpl.java the reportURL is loaded from Urkund API in getReviewReport method and it calls to [crqs.update(item)|https://github.com/sakaiproject/sakai/blob/master/content-review/impl/urkund/src/main/java/org/sakaiproject/contentreview/urkund/UrkundReviewServiceImpl.java#L311], having stored the URL in the item object.

The method [update()|https://github.com/sakaiproject/sakai/blob/master/content-review/impl/service/src/main/java/org/sakaiproject/contentreview/service/ContentReviewQueueServiceImpl.java#L260] of ContentReviewQueueServiceImpl calls to itemDao.save(item). This calls the method [save()|https://github.com/sakaiproject/sakai/blob/master/content-review/impl/dao/src/main/java/org/sakaiproject/contentreview/dao/HibernateCommonDao.java#L45] in HibernateCommonDao.java, which calls to sessionFactory.getCurrentSession().saveOrUpdate(t);

I have checked that these calls are performed, but saveOrUpdate() doesn't store the report URL into CONTENTREVIEW_ITEM_PROPERTIES."
Messages: Avoid creating an empty second line of the original message,Bug,Closed,Sakai,software,"In the Message's tool when forwarding a Message, that message it is edited before showing his text creating a empty ""<p></p>"" with only ""&nbsp;"" or white space in the second line"
PA System pop up text color needs more contrast in Dark Mode,Bug,Closed,Sakai,software,"PA System pop up text color needs more contrast in Dark Mode

!PA system Pop Up.png|width=2736,height=1594!

It looks like the text color is changing to the dark modeâ€™s text color, but the pop upâ€™s background remains light.  

Either always set the text color to a dark color.  

Or set the pop upâ€™s background color to the dark mode color.  however, i think this requires extra javascript to *find* and *set* the featherlight containerâ€™s background color.  because JS is used to create the featherlight popup."
Word count algorithm in Statistics is different from word count algorithm when viewing a post,Bug,Closed,Sakai,software,[https://sakaiproject.atlassian.net/browse/SAK-47306|https://sakaiproject.atlassian.net/browse/SAK-47306|smart-link] implemented a new Word Count feature in Statistics and Grading. But it doesnâ€™t match the word count when viewing an individual post in the normal Forums view
Polls tool does not implement cleanup (replace) for import,Bug,Verified,Sakai,software,"I noticed when fixing [SAK-43207] that polls does not implement any cleanup in their transferCopyEntities code, leaving it as a TODO. This would mean that when someone selects ""Replace my Data"" nothing would be replaced. All other tools seem to implement this so these should be done for completeness.Â "
Assignments > Allow Extension Redesign,Improvement,Open,Sakai,software,"h2. *Description*

In the Assignments tool, instructors now have the option to allow an extension for a first-time submission.Â 

As [+SAK 49527+|https://sakaiproject.atlassian.net/browse/SAK-49527] shares, this functionality only works if the instructor clicks â€œSave and Release to Studentâ€ in either the new or legacy grader. If an instructor clicks either â€œSave and Donâ€™t Release to Studentâ€ (in the legacy grader) or â€œSaveâ€ (in the new grader), then the extension does not work.Â 

The current design and behavior can be confusing for faculty members for several reasons:

# If the instructor clicks â€œSave and Donâ€™t Release to Studentâ€ (in legacy grader) or â€œSaveâ€ (in new grader), and then navigates back to the studentâ€™s assignment submission page, the checkbox for â€œAllow Extensionâ€ is checked, which can give the instructor a false sense of security that the extension was granted. In addition, there is no error or helpful guidance given to the instructor that they clicked the wrong button.
# Requiring an instructor to click â€œSave and Release to Studentâ€ (in either the legacy or new grader) to grant an extension is not intuitive, as instructors have historically approached this button with great caution (not wanting to release grades until ready). When granting an extension, instructors are presumably not seeking to â€œreleaseâ€ any feedback to the student, because nothing has been submitted. So it does not make sense from a user perspective to have to â€œreleaseâ€ anything to grant an assignment extension.
# In both the legacy and new grader, the placement of the â€œAllow Extensionâ€ functionality is all the way down at the bottom of the student submission page. From a logical perspective, placing this functionality _after_ all of the grading/feedback fields is not intuitive. While it makes intuitive sense to place the â€œAllow Resubmissionâ€ function there (as an instructor may wish to allow a student to resubmit an assignment that needs additional work), allowing an extension for a first time submission should precede the grading area.

h2. Proposal

h3. Legacy Grader

In the legacy grader, place the â€œAllow Extensionâ€ functionality closer to the submission status. This way, an extension is not located near the grading area and is logically connected to a submission status of â€œNo Submission.â€

In addition, place a â€œSaveâ€ button in close proximity to the â€œAllow Extensionâ€ checkbox and date. This â€œSaveâ€ button only governs the extension functionality, and does not include any language about â€œreleasingâ€ anything.

!fDoh5Af1-11cewKgdRYTGBUBT88uxGCmi8xHSqsqXHzwpZfyAmSB0VA2e3WWjgKuZtc0R_EceSWzWmTQ0sPiVAlhQajAr6pd_nkrnO_PAo-qOXd2jiq0Tx69fFq1ziylvjKeRcAQsJTXvuFJozFvxGs|width=1381,height=872!

In addition, when a student has already submitted, this functionality should no longer feature. At this point, an instructor must allow resubmission, which is located at the bottom of the page.

h3. New Grader

In the new grader, the â€œAllow Extensionâ€ functionality can be placed above the grading/feedback options (see screenshot below).

!Pla0_Y61WfLYyVkCIay8S8l-zn4A3h6M0df57HMMVHTckWyjAvduTHsjeFTfT7pyofYKap0h6IljJN9hOl56C-nYpwMB4dnRv-frmMydlK5WKYZnfAPrb-CCQgYux1d3PYWUDOMrkLPZBhcpQ-d3aZI|width=749,height=684!

h3. Confirmation Messages

Lastly, in both the legacy grader and the new grader, whenever an instructor saves an extension, a confirmation message should be displayed to confirm the save to the user. This is important for digital accessibility.Â 

!qFCLjM-oLwY1XmbtfAs4JgkKH5oyaDe4kY1-whH3zRJVVUye26C3PSFfqB39bzRM88XMdkZsSYiVK0yWKL3-yEoPoTpYm97G_OCGdAVWpQfhmH1OsIVN5byPK99izo_tfLxq4jxHjIlioqkhLnAHFAg|width=959,height=370!



!dZJHjH8xzIoLMVC0pT4_zLfgk7LBq53LO3Lx_1tnc6HUGlZys9MYQ2LchN8x_YhZGhwpnP25Br8Ta0dSOqMwOsqIqiCBVQi-zovHVNVVl2JNyXxeI2eV5SwizF9WglhEJX631vTVtHWFrO5STT8dCj8|width=661,height=745!"
Update Apache commons compress 1.26.0,Bug,Closed,Sakai,software,"h4. [ANNOUNCE] Apache Commons Compress 1.26.0
The Apache Commons team is pleased to announce Apache Compress 1.26.0.

Apache Commons Compress defines an API for working with compression
and archive formats. These include bzip2, gzip, pack200, LZMA, XZ,
Snappy, traditional Unix Compress, DEFLATE, DEFLATE64, LZ4, Brotli,
Zstandard and ar, cpio, jar, tar, zip, dump, 7z, arj.

This minor feature and maintenance release.

Historical list of changes:
[https://commons.apache.org/proper/commons-compress/changes-report.html|https://commons.apache.org/proper/commons-compress/changes-report.html|smart-link] 

For complete information on Apache Commons Compress, including
instructions on how to submit bug reports, patches, or suggestions for
improvement, see the Apache Commons Compress website:

[https://commons.apache.org/proper/commons-compress/|https://commons.apache.org/proper/commons-compress/|smart-link] "
"Mailsender: pressing Return when focus is in Subject Textbox adds ""Other Recipients"" textbox to the page",Bug,Resolved,Sakai,software,"
!Screenshot 2022-10-22 at 21.30.09.png|width=656,height=541!



Put cursor in Subject field & press return key. This field appears

!image-20221022-203102.png|width=1344,height=1282!



press Return again



!image-20221022-203158.png|width=1678,height=1314!

and again

!image-20221022-203234.png|width=1834,height=1248!

and again

!image-20221022-203311.png|width=1478,height=1302!"
Gradebook: Entering grades and hitting enter sequentially does not save grades appropriately. ,Bug,Open,Sakai,software,"Description: Hitting enter and entering grades does not save grades appropriately. Refer to video. 

This also occurs when using Tab to enter multiple grades for a single student"
Update Joda-time 2.12.7,Bug,Closed,Sakai,software,"[+Release v2.12.7+|https://github.com/JodaOrg/joda-time/releases/tag/v2.12.7] [Latest|https://github.com/JodaOrg/joda-time/releases/latest]

See the [+change notes+|https://www.joda.org/joda-time/changes-report.html#a2.12.7] for more information.

h2. What's Changed

* Update time zone data to 2024agtz by @github-actions in [+#768+|https://github.com/JodaOrg/joda-time/pull/768]"
Tests & Quizzes: Submissions cannot be graded,Bug,Resolved,Sakai,software,"When a test is submitted, the submission shows on the studentâ€™s side but not on the instructorâ€™s side. Therefore, it cannot be graded. Issue does not appear in 23x, only 24x.

The following error appeared in the logs only once:

{noformat}25-Feb-2024 16:52:34.276 WARN [http-nio-20313-exec-22] o.s.d.i.BasicSqlService.dbWriteCount Sql.dbWrite(): recordAlreadyExists: true, failQuiet: 1, : error code: 1062, sql: insert into SAKAI_LOCKS (TABLE_NAME,RECORD_ID,LOCK_TIME,USAGE_SESSION_ID) values (?, ?, ?, ?), binds:  SAKAI_PREFERENCES -1853518044 - 0c2521d7-0ceb-40a6-9708-92c184fcd6b1 20240225215234263 53277b4a-dfc2-4860-b2e5-2cd652657334, error: java.sql.SQLIntegrityConstraintViolationException: (conn=511542) Duplicate entry 'SAKAI_PREFERENCES--1853518044 - 0c2521d7-0ceb-40a6-9708-92c18...' for key 'SAKAI_LOCKS_INDEX'
25-Feb-2024 16:52:34.278 WARN [http-nio-20313-exec-22] o.s.p.c.h.SiteHandler.doSite Exception caught whilst setting selectedPage property: org.sakaiproject.exception.InUseException id: 0c2521d7-0ceb-40a6-9708-92c184fcd6b1{noformat}

And this error appears upon submission:

{noformat}25-Feb-2024 17:18:56.245 INFO [http-nio-20313-exec-24] o.s.e.i.BasicEmailService.transportMessage transportMessage: headers[ From: ""Sakai"" <no-reply@trunk-maria.nightly.sakaiproject.org> To: ""Nancy Drew"" <ndrew@mailinator.com> Subject: Notification for assessment submission: Trunk-AS MAR 101 Spring 2024 - Quiz1 Content-Type: multipart/alternative; boundary=""======sakai-multi-part-boundary======"" Mime-Version: 1.0 Return-Path: <> Auto-Submitted: auto-generated] to[  ndrew@mailinator.com]
25-Feb-2024 17:18:56.842 WARN [http-nio-20313-exec-23] o.s.g.i.GradingServiceImpl.getAssignments AUTHORIZATION FAILURE: User b1252aef-63da-47f6-9051-1b3d770f50a0 in gradebook 70ba9775-ee75-4ccd-af8c-9db1497d73e4 attempted to get assignments list{noformat}"
"Mailsender: No users displaying for roles, unable to send email",Bug,Verified,Sakai,software,"Currently, this issue only affects 24x. In a site with students and the Email  tool, if the instructor clicks on Email (compose),clicks on Roles, then clicks on Students in the exposed roles sections, message displays â€œNo site participants in this role.â€

If you then create groups in the site and click on groups, those are populated."
Messages: No bullhorn notification for read receipts,Bug,Open,Sakai,software,"Tested [https://sakaiproject.atlassian.net/browse/S2U-29|https://sakaiproject.atlassian.net/browse/S2U-29|smart-link] 

Both instructor and student have the option to receive a read receipt when composing, responding and forwarding. The read receipt is delivered to their email address.

However, there is also supposed to be a bullhorn alert when a message has been read and that is failing."
Gradebook: Extra credit warning is not readable in dark mode. ,Bug,Closed,Sakai,software,When grades are adjusted and unscaled the extra credit warning is not readable on dark more.
Messages tab headers are inconsistent,Bug,Closed,Sakai,software,"There are inconsistencies between Messages â€œPagesâ€

# â€œPermissionsâ€ loses the tabs and is unlike all the other Messages â€œpagesâ€. This page is therefore of a different format to all other pages in Messages - just needs the tabs adding to conform.
# â€œCreate Folderâ€ and â€œSettingsâ€ page titles have a prefixed of â€œMessages - â€œ before the title, none of the other pages in Messages do this. The title given to these two pages is of a different format to all of the other, they shouldnâ€™t be prefixed by â€œMessages - â€œ

Screenshots:

!image-20240223-203159.png|width=83.33333333333334%!



!image-20240223-203215.png|width=83.33333333333334%!

!image-20240223-203223.png|width=83.33333333333334%!"
Calendar: Add Bulk Edit/Delete option,Feature Request,Open,Sakai,software,"When importing the calendar tool from one course site to another, the dates and correlating assignments/tests & quizzes/discussions appear on the calendar in the new site. But this is usually not desirable, as those events no longer have any relevance in the new course. To remove these items, It would make it easier for instructors if the calendar had a bulk edit/delete option. This way, old or irrelevant events/deliverables could be quickly deleted from the calendar first prior to connecting new and/or relevant events to the calendar.

*Proposal:*

Create a new tab in Calendar that serves the purpose to Bulk Edit/Delete. This would open a page that shows all Calendar events that can be deleted from the Calendar. This can mimic the Bulk Edit Events in the Assignments Tool. See screenshots below.Â "
Update Log4j 2.23.0,Bug,Closed,Sakai,software,"{noformat}[ANNOUNCE] Apache Log4j 2.23.0 releasedThe Apache Log4j team is pleased to announce the 2.23.0
release. Apache Log4j is a versatile, industrial-strength
Java logging framework composed of an API, its implementation,
and components to assist the deployment for various use cases.
For further information (support, download, etc.) see the project
website[1].

[1] https://logging.apache.org/log4j/2.x/

== Release Notes

This release adds support for LMAX Disruptor 4.x and several
performance and bug fixes.

In order to maintain compatibility with JRE 8, support for LMAX
Disruptor 3.x is maintained.

=== Added

* Added support for LMAX Disruptor 4.x (#1821)

=== Changed

* Simplify BND configuration after upgrade from version `6.4.1` to `7.0.0`

=== Deprecated

* Deprecate the configuration attribute `verbose` (i.e.,
`<Configuration verbose=""...""`) and `StatusConsoleListener` filters
(#2226)
* Deprecated the `RingBufferLogEventHandler` class for removal from
the public API in 3.x

=== Fixed

* Fix regression in `JdkMapAdapterStringMap` performance. (#2238)
* Fix the behavior of `Logger#setLevel` and `Logger#getLevel` in the
Log4j 1.2 bridge. (#2282)
* Fix the behavior of `CoreLogger#getLevel` and `CoreLogger#setLevel`
in the `log4j-jul` module. (#2282)
* Allow deserialization of all arrays of allowed classes (LOG4J2-3680).
* Allow the <Properties> node to appear in any position in the
configuration element.
* Fix forgotten `threadName` field in `RingBufferLogEvent#clear()` (#2234)
* Fix `StringBuilder` cache corruption on recursive access
* Fixed use of `SecurityManager` in `LoaderUtil` where
`AccessController::doPrivilege

d` should only be invoked when a
`SecurityManager` is installed. Some runtimes do not seem to have this
method available. (#2129)
* Fix `log4j-spring-cloud-config-client` dependencies to include only
those required. (#2157)
* Fix typo in Kubernetes `clientKeyData` configuration property.

=== Updated

* Update `com.fasterxml.jackson:jackson-bom` to version `2.16.1` (#2126)
* Update `commons-codec:commons-codec` to version `1.16.1` (#2277)
* Update `io.netty:netty-bom` to version `4.1.107.Final` (#2284)
* Update `org.apache.logging:logging-parent` to version `10.6.0` (#2197)
* Update `org.eclipse.jetty:jetty-bom` to version `9.4.54.v20240208` (#2287)
* Update `org.jctools:jctools-core` to version `4.0.3` (#2270)
* Update `org.springframework:spring-framework-bom` to version `5.3.32`
(#2293)
* Update `org.zeromq:jeromq` to version `0.6.0` (#2271)
{noformat}"
Resources: Detect filetype on Jupyter Notebook,Bug,Open,Sakai,software,"Filetype extension is wrong when trying upload this extension:

* Jupyter Notebook is: text/plain and should be: application/x-ipynb+json"
Gateway Accessibility issue: Site browser select element does not have an accessible name,Bug,Open,Sakai,software,"On the Gateway > Site Browser page, if you run the axeDevTool it flags the select element:

h3. Element Location:

{noformat}#selectTerm{noformat}

{noformat}<select name=""selectTerm"" id=""selectTerm"" disabled="""">{noformat}

h3. To solve this problem, you need to fix at least (1) of the following:

* Form element does not have an implicit (wrapped) <label>
* Form element does not have an explicit <label>
* aria-label attribute does not exist or is empty
* aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
* Element has no title attribute
* Element's default semantics were not overridden with role=""none"" or role=""presentation"""
